一,yī,
乙,yǐ,
二,èr,
十,shí,
丁,dīng,zhēng
厂,ān,chǎng
七,qī,
卜,bo,bǔ
人,rén,
入,rù,
八,bā,
九,jiǔ,
几,jǐ,jī
儿,ér,
了,le,liǎo
力,lì,
乃,nǎi,
刀,dāo,
又,yòu,
三,sān,
于,yú,
干,gàn,gān
亏,kuī,
士,shì,
工,gōng,
土,tǔ,
才,cái,
寸,cùn,
下,xià,
大,dà,dài
丈,zhàng,
与,yú,yù
万,mǒ,wàn
上,shàng,shǎng
小,xiǎo,
口,kǒu,
巾,jīn,
山,shān,
千,qiān,
乞,qǐ,
川,chuān,
亿,yì,
个,gè,gě
勺,sháo,
久,jiǔ,
凡,fán,
及,jí,
夕,xī,
丸,wán,
么,me,
广,ān,guǎng
亡,wáng,wú
门,mén,
义,yí,yì
之,zhī,
尸,shī,
弓,gōng,
己,jǐ,
已,yǐ,
子,zì,zǐ
卫,wèi,
也,yě,
女,nü3,
飞,fēi,
刃,rèn,
习,xí,
叉,chá,chà
马,mǎ,
乡,xiāng,
丰,fēng,
王,wáng,wàng
井,jǐng,
开,kāi,
夫,fú,fū
天,tiān,
无,mó,wú
元,yuán,
专,zhuān,
云,yún,
扎,zā,zhá
艺,yì,
木,mù,
五,wǔ,
支,zhī,
厅,tīng,
不,bù,
太,tài,
犬,quǎn,
区,ōu,qū
历,lì,
尤,yóu,
友,yǒu,
匹,pǐ,
车,chē,jū
巨,jù,
牙,yá,
屯,tún,zhūn
比,bǐ,
互,hù,
切,qiè,qiē
瓦,wà,wǎ
止,zhǐ,
少,shǎo,
日,rì,
中,zhòng,zhōng
冈,gāng,
贝,,
内,nà,nèi
水,shuǐ,
见,jiàn,xiàn
午,wǔ,
牛,niú,
手,shǒu,
毛,máo,
气,qì,
升,shēng,
长,cháng,zhǎng
仁,rén,
什,shén,shí
片,piàn,piān
仆,pú,pū
化,huà,huā
仇,chóu,qiú
币,bì,
仍,réng,
仅,jìn,jǐn
斤,jin,jīn
爪,zhǎo,zhuǎ
反,fǎn,
介,jiè,
父,fù,fǔ
从,cóng,
今,jīn,
凶,xiōng,
分,fèn,fēn
乏,fá,
公,gōng,
仓,cāng,
月,yuè,
氏,shì,zhī
勿,wù,
欠,qiàn,qiɑn
风,fèng,fěng
丹,dān,
匀,yún,
乌,wù,wū
凤,fèng,
勾,gòu,gōu
文,wén,
六,liù,lù
方,fāng,
火,huǒ,
为,wéi,wèi
斗,dòu,dǒu
忆,yì,
订,dìng,
计,jì,
户,hù,
认,rèn,
心,xīn,
尺,chě,chǐ
引,yǐn,
丑,chǒu,
巴,bā,
孔,kǒng,
队,duì,
办,bàn,
以,yǐ,
允,yǔn,
予,yú,yǔ
劝,quàn,
双,shuāng,
书,shū,
幻,huàn,
玉,yù,
刊,kān,
示,shì,
末,mò,
未,wèi,
击,jī,
打,dá,dǎ
巧,qiǎo,
正,zhèng,zhēng
扑,pū,
扒,bɑ,pá
功,gōng,
扔,rēng,
去,qù,
甘,gān,
世,shì,
古,gǔ,
节,jié,jiē
本,běn,
术,shù,zhú
可,kè,kě
丙,bǐng,
左,zuǒ,
厉,lì,
右,yòu,
石,dàn,shí
布,bù,
龙,lóng,
平,píng,
灭,miè,
轧,gá,yà
东,dōng,
卡,kǎ,qiǎ
北,běi,
占,zhàn,zhān
业,yè,
旧,jiù,
帅,shuài,
归,guī,kuì
且,jū,qiě
旦,dàn,
目,mù,
叶,shè,xié
甲,jiá,
申,shēn,
叮,dīng,
电,diàn,
号,hào,
田,tián,
由,yóu,
史,shǐ,
只,zhǐ,zhī
央,yāng,
兄,xiōng,
叼,diāo,
叫,jiào,
另,lìng,
叨,dāo,tāo
叹,tàn,
四,sì,
生,shēng,
失,shī,
禾,hé,
丘,qiū,
付,fù,
仗,zhàng,
代,dài,
仙,xiān,
们,men,
仪,yí,
白,bái,
仔,zǎi,zǐ
他,tā,
斥,chì,
瓜,guā,
乎,hū,
丛,cóng,
令,líng,lìng
用,yòng,
甩,shuǎi,
印,yìn,
乐,lè,yuè
句,gōu,jù
匆,cōng,
册,cè,
犯,fàn,
外,wài,
处,chú,chù
冬,dōng,
鸟,diǎo,niǎo
务,wù,
包,bāo,
饥,jī,
主,zhù,zhǔ
市,shì,
立,lì,
闪,shǎn,
兰,lán,
半,bàn,
汁,zhī,
汇,huì,
头,tou,tóu
汉,hàn,
宁,níng,nìng
穴,xué,
它,tā,
讨,tǎo,
写,xiè,xiě
让,ràng,
礼,lǐ,
训,xùn,
必,bì,
议,yì,
讯,xùn,
记,jì,
永,yǒng,
司,sī,
尼,ní,nǐ
民,mín,
出,chū,
辽,liáo,
奶,nǎi,
奴,nú,
加,jiā,
召,zhào,
皮,pí,
边,biān,
发,fà,fā
孕,yùn,
圣,shèng,
对,duì,
台,tái,tāi
矛,máo,
纠,jiū,
母,mǔ,
幼,yòu,
丝,sī,
式,shì,
刑,xíng,
动,dòng,
扛,gāng,káng
寺,sì,
吉,jí,
扣,kòu,
考,kǎo,
托,tuō,
老,lǎo,
执,zhí,
巩,gǒng,
圾,jī,
扩,kuò,
扫,sào,sǎo
地,de,dì
扬,yáng,
场,cháng,chǎng
耳,,
共,gòng,gǒng
芒,máng,
亚,yà,
芝,zhī,
朽,xiǔ,
朴,piáo,pò
机,jī,
权,quán,
过,guò,guō
臣,chén,
再,zài,
协,xié,
西,xī,
压,yà,yā
厌,yā,yàn
在,zài,
有,yòu,yǒu
百,bǎi,
存,cún,
而,ér,
页,yè,
匠,jiàng,
夸,kuā,
夺,duó,
灰,huī,
达,dá,
列,liè,
死,sǐ,
成,chéng,
夹,gā,jiá
轨,guǐ,
邪,xié,yé
划,huá,huà
迈,mài,
毕,bì,
至,zhì,
此,cǐ,
贞,,
师,shī,
尘,chén,
尖,jiān,
劣,liè,
光,guāng,
当,dàng,dāng
早,zǎo,
吐,tù,tǔ
吓,hè,xià
虫,chóng,huǐ
曲,qǔ,qū
团,tuán,
同,tóng,tòng
吊,diào,
吃,chī,
因,yīn,
吸,xī,
吗,má,mǎ
屿,yǔ,
帆,fān,
岁,suì,
回,huí,
岂,qǐ,
刚,gāng,
则,zé,
肉,ròu,
网,wǎng,
年,nián,
朱,zhū,
先,xiān,
丢,diū,
舌,shé,
竹,zhú,
迁,qiān,
乔,qiáo,
伟,wěi,
传,chuán,zhuàn
乒,pīng,
乓,pāng,
休,xiū,
伍,wǔ,
伏,fú,
优,yōu,
伐,fá,
延,yán,
件,jiàn,
任,rén,rèn
伤,shāng,
价,jià,jie
份,,
华,huá,huà
仰,áng,yǎng
仿,,
伙,huo,huǒ
伪,wěi,
自,zì,
血,xiě,
向,xiàng,
似,sì,shì
后,hòu,
行,háng,hàng
舟,zhōu,
全,quán,
会,huì,kuài
杀,shā,
合,gě,hé
兆,zhào,
企,,
众,zhòng,
爷,yé,
伞,sǎn,
创,chuàng,chuāng
肌,jī,
朵,duǒ,
杂,zá,
危,wēi,
旬,xún,
旨,zhǐ,
负,,
各,gè,gě
名,míng,
多,duō,
争,zhèng,zhēng
色,sè,shǎi
壮,zhuàng,
冲,chòng,chōng
冰,bīng,
庄,zhuāng,
庆,qìng,
亦,yì,
刘,liú,
齐,jì,qí
交,jiāo,
次,cì,
衣,yī,
产,chǎn,
决,jué,
充,chōng,
妄,wàng,
闭,bì,
问,wèn,
闯,chuǎng,
羊,yáng,
并,bìng,bīng
关,guān,
米,mǐ,
灯,dēng,
州,zhōu,
汗,hán,hàn
污,wū,
江,jiāng,
池,chí,
汤,shāng,tàng
忙,máng,
兴,xìng,xīng
宇,yǔ,
守,shǒu,
宅,zhái,
字,zì,
安,ān,
讲,jiǎng,
军,jūn,
许,xǔ,
论,lún,lùn
农,nóng,
讽,fěng,
设,shè,
访,fǎng,
寻,xún,
那,nà,nā
迅,xùn,
尽,jìn,jǐn
导,dǎo,
异,yì,
孙,sūn,
阵,zhèn,
阳,yáng,
收,shōu,
阶,jiē,
阴,yīn,
防,fáng,
奸,gān,jiān
如,rú,
妇,fù,
好,hào,hǎo
她,tā,
妈,mā,
戏,hū,huī
羽,yǔ,
观,guàn,guān
欢,huān,
买,mǎi,
红,gōng,hóng
纤,qiàn,xiān
级,jí,
约,yāo,yuē
纪,jì,jǐ
驰,chí,
巡,xún,
寿,shòu,
弄,lòng,nòng
麦,mài,
形,xíng,
进,jìn,
戒,jiè,
吞,tūn,
远,yuǎn,
违,wéi,
运,yùn,
扶,fú,
抚,fǔ,
坛,tán,
技,jì,
坏,huài,
扰,rǎo,
拒,jù,
找,zhǎo,
批,pī,
扯,chě,
址,zhǐ,
走,zǒu,
抄,,
