,total,y,no init,sh,q,r,b,j,l,d,k,g,t,c,zh,x,ch,f,w,m,p,h,n,z,s
i,"i: 80/282, ei: 59/282, ik: 50/282, ai: 47/282, at: 22/282, ap: 10/282, aap: 2/282, it: 2/282, ek: 2/282, yut: 1/282, aau: 1/282, eot: 1/282, ui: 1/282, ut: 1/282, aak: 1/282, e: 1/282, aai: 1/282","i: 13/33, ik: 10/33, at: 4/33, ai: 3/33, ap: 2/33, yut: 1/33",,"i: 16/31, ai: 4/31, at: 4/31, ik: 4/31, ap: 2/31, ei: 1/31","ei: 12/23, at: 4/23, ai: 3/23, i: 2/23, ik: 1/23, ap: 1/23",at: 1/1,"ei: 7/18, ai: 5/18, at: 2/18, ik: 2/18, it: 1/18, ut: 1/18","ei: 13/28, ik: 7/28, ai: 5/28, ap: 2/28, at: 1/28","ei: 14/23, ai: 6/23, ik: 2/23, eot: 1/23","ai: 4/8, ik: 3/8, ek: 1/8",,,"ai: 8/11, ik: 2/11, ek: 1/11",i: 8/8,"i: 19/31, ik: 4/31, ap: 2/31, ai: 2/31, at: 2/31, it: 1/31, aak: 1/31","ik: 9/23, ei: 5/23, ai: 4/23, aap: 2/23, ap: 1/23, at: 1/23, aai: 1/23","i: 7/8, ik: 1/8",,,"ai: 2/5, at: 2/5, ik: 1/5","ei: 6/12, ik: 2/12, at: 1/12, ai: 1/12, ui: 1/12, e: 1/12",,"ik: 2/3, ei: 1/3",i: 9/9,"i: 6/7, aau: 1/7"
ou,"au: 72/75, uk: 1/75, ip: 1/75, at: 1/75",au: 16/16,au: 3/3,au: 8/8,,"au: 3/4, uk: 1/4",,,au: 4/4,au: 6/6,au: 4/4,"at: 1/2, au: 1/2",au: 2/2,au: 1/1,"au: 7/8, ip: 1/8",,au: 5/5,,,au: 2/2,au: 1/1,au: 5/5,,au: 3/3,au: 1/1
e,"o: 12/53, e: 12/53, it: 8/53, aak: 6/53, ok: 5/53, ip: 3/53, ak: 3/53, aa: 1/53, im: 1/53, ot: 1/53, at: 1/53","e: 4/7, aa: 1/7, ip: 1/7, im: 1/7","o: 4/8, ok: 3/8, aak: 1/8","e: 3/6, ip: 2/6, it: 1/6",,"it: 1/2, e: 1/2",,,,ak: 1/1,"o: 3/4, aak: 1/4","o: 3/6, ok: 1/6, ot: 1/6, aak: 1/6",ak: 1/1,aak: 2/2,"e: 3/6, it: 3/6",,"it: 3/4, e: 1/4",,,,,"o: 2/3, ok: 1/3",,"ak: 1/2, aak: 1/2",at: 1/1
จนn,"an: 12/24, eon: 11/24, am: 1/24",an: 6/6,,,an: 2/2,,,"eon: 3/5, an: 2/5",,,,,,,,"eon: 8/11, an: 2/11, am: 1/11",,,,,,,,,
a,"aa: 29/54, aap: 9/54, aat: 6/54, at: 6/54, aai: 2/54, u: 1/54, o: 1/54","aa: 6/8, aai: 2/8",,"aa: 3/5, o: 1/5, aap: 1/5",,,"aa: 5/9, aat: 2/9, at: 1/9, u: 1/9",,aap: 1/1,aap: 1/1,,,aap: 1/1,,"aa: 2/4, aap: 1/4, aat: 1/4",,"aa: 1/2, aat: 1/2",at: 5/5,aa: 3/3,aa: 5/5,aa: 3/3,,"aap: 1/3, aa: 1/3, aat: 1/3",aap: 2/2,"aap: 1/2, aat: 1/2"
จนe,"yut: 9/21, oek: 5/21, ok: 3/21, at: 1/21, oe: 1/21, it: 1/21, e: 1/21","yut: 5/6, ok: 1/6",,,"oek: 1/4, yut: 1/4, ok: 1/4, e: 1/4",,,"at: 1/3, yut: 1/3, oek: 1/3",oek: 2/2,,,,,,,"yut: 2/5, ok: 1/5, oe: 1/5, it: 1/5",,,,,,,oek: 1/1,,
in,"an: 25/54, am: 16/54, eon: 9/54, ing: 2/54, im: 1/54, ei: 1/54","an: 7/9, am: 2/9",,,"am: 6/9, an: 2/9, eon: 1/9",,an: 3/3,"an: 4/9, eon: 3/9, am: 2/9","am: 5/9, eon: 4/9",,,,,,,"an: 4/6, am: 1/6, eon: 1/6",,,,"an: 3/4, ing: 1/4","an: 2/4, im: 1/4, ing: 1/4",,ei: 1/1,,
จน,"eoi: 24/62, yu: 19/62, uk: 11/62, eot: 2/62, an: 1/62, at: 1/62, ek: 1/62, ik: 1/62, u: 1/62, ai: 1/62","yu: 18/25, uk: 4/25, an: 1/25, ik: 1/25, u: 1/25",,,"eoi: 3/4, at: 1/4",,,"eoi: 8/12, uk: 3/12, ek: 1/12","eoi: 5/7, eot: 1/7, uk: 1/7",,,,,,,"eoi: 8/14, uk: 3/14, eot: 1/14, yu: 1/14, ai: 1/14",,,,,,,,,
ang,"ong: 58/96, oeng: 35/96, aang: 2/96, ung: 1/96",oeng: 13/13,,oeng: 5/5,,"oeng: 2/3, ong: 1/3","ong: 4/5, aang: 1/5",,ong: 6/6,ong: 2/2,ong: 2/2,ong: 6/6,ong: 9/9,ong: 3/3,"oeng: 8/9, ung: 1/9",,"oeng: 7/8, ong: 1/8",ong: 7/7,ong: 8/8,"ong: 2/3, aang: 1/3",ong: 2/2,ong: 2/2,,ong: 2/2,ong: 1/1
ong,"ung: 74/81, ing: 4/81, ang: 2/81, i: 1/81","ung: 5/8, ing: 3/8",,,,"ung: 8/9, ing: 1/9",,,ung: 5/5,ung: 6/6,ung: 3/3,ung: 11/11,ung: 9/9,ung: 4/4,"ung: 6/7, i: 1/7",,ung: 3/3,,,,,"ung: 3/5, ang: 2/5",ung: 2/2,ung: 4/4,ung: 5/5
